cgpa,backlogs,college_tier,country,university_ranking_band,internship_count,aptitude_score,communication_score,specialization,industry,internship_quality_score,placement_status
7.421585113,3,Tier 2,Germany,Top 100,1,76.78144103,63.16187922,Core CS,Consulting,5.426516011,Placed
5.224177642,1,Tier 2,USA,300+,0,74.60249647,75.38099563,Cybersecurity,Other,3.408600106,Not Placed
6.57684259,0,Tier 1,USA,100-300,1,52.93924253,63.59748502,Cybersecurity,Other,3.865309091,Not Placed
8.770024832,1,Tier 2,UK,100-300,2,70.5611594,67.56559471,Cybersecurity,Tech,5.691559606,Placed
7.196030931,0,Tier 3,Germany,300+,1,83.4270541,77.49338776,Cybersecurity,Other,4.3683617,Not Placed
7.208224405,1,Tier 3,USA,100-300,5,71.89463361,43.70744678,Core CS,Healthcare,5.717585177,Placed
7.469091215,1,Tier 3,UK,Top 100,1,76.60298268,66.57636873,Cloud,Manufacturing,7.156768461,Placed
7.195973257,1,Tier 1,Canada,300+,2,76.47058433,83.74690074,Cloud,Healthcare,4.735477378,Not Placed
6.988583718,1,Tier 3,USA,300+,0,58.05230346,87.39127713,Cloud,Tech,3.460757102,Not Placed
7.761239816,1,Tier 1,Germany,Top 100,3,70.85567695,83.89957731,AI/ML,Other,4.247172051,Placed
7.485480475,2,Tier 2,Canada,Top 100,1,53.93938676,61.51479233,Core CS,Consulting,6.145045343,Placed
7.278065364,4,Tier 1,USA,100-300,0,64.85593108,65.88931553,Cloud,Finance,5.458886169,Not Placed
8.456435126,0,Tier 3,Germany,100-300,1,80.90745512,81.56547279,AI/ML,Other,6.451396678,Placed
6.638154945,1,Tier 1,Germany,100-300,0,64.13342612,89.96157736,AI/ML,Consulting,3.352890217,Placed
6.906262396,3,Tier 3,Germany,300+,1,74.00051017,68.8812034,Cloud,Finance,5.189834919,Not Placed
6.567194507,2,Tier 2,India,Top 100,1,63.75408641,60.69243521,Cybersecurity,Consulting,4.602731966,Placed
6.976518638,2,Tier 3,Canada,Top 100,1,58.0289049,47.38518531,Data Science,Consulting,8.086236475,Placed
6.363554346,0,Tier 2,Germany,100-300,1,44.48538861,62.36247831,Core CS,Other,3.453480986,Placed
7.25674405,2,Tier 2,UK,300+,3,100.0,83.91110416,Core CS,Healthcare,3.137458622,Not Placed
8.34116397,0,Tier 3,Germany,Top 100,5,71.07325078,61.38450598,Core CS,Manufacturing,3.755989558,Placed
7.303322495,2,Tier 3,India,100-300,3,54.27137183,75.77642886,Data Science,Other,5.259138996,Not Placed
7.257358245,1,Tier 3,USA,300+,4,70.33057104,62.86226714,Core CS,Other,4.99502137,Placed
7.118838323,2,Tier 1,India,Top 100,3,40.08677501,53.2497526,Core CS,Consulting,6.201085973,Placed
5.906497041,1,Tier 2,India,Top 100,1,38.39688614,51.7098218,Core CS,Tech,2.980545491,Not Placed
6.541070394,3,Tier 1,Germany,Top 100,2,73.90571926,98.75724689,Core CS,Finance,4.720231008,Placed
6.410096077,1,Tier 3,India,Top 100,2,73.02971096,63.25559233,Cybersecurity,Consulting,4.778566508,Placed
6.548601921,1,Tier 1,Germany,100-300,1,74.50754601,60.02621432,Data Science,Consulting,4.93536207,Placed
5.125568719,1,Tier 2,Germany,300+,1,66.32441429,87.8874145,Core CS,Manufacturing,4.950822351,Not Placed
6.136126042,4,Tier 1,Germany,100-300,1,78.69752821,45.71629546,Cybersecurity,Consulting,4.741424955,Not Placed
6.294431389,1,Tier 3,UK,Top 100,1,65.34444221,57.03814147,Cybersecurity,Manufacturing,4.971374256,Not Placed
6.30457041,2,Tier 2,USA,100-300,3,60.00318282,76.27966455,Core CS,Manufacturing,1.134863895,Not Placed
7.337269288,0,Tier 3,India,300+,2,57.85057343,93.81233193,Core CS,Consulting,2.512174542,Not Placed
6.639705447,0,Tier 2,Germany,Top 100,2,57.70941935,76.13932183,Core CS,Healthcare,4.035775215,Not Placed
7.60255196,1,Tier 2,Canada,100-300,1,57.39244012,60.57517706,Core CS,Tech,5.432788062,Placed
7.909904878,2,Tier 3,UK,300+,1,70.00626928,52.01588069,Cloud,Finance,2.08045702,Not Placed
7.344033318,1,Tier 3,India,300+,1,64.99062915,70.32132253,Data Science,Consulting,7.411787902,Placed
7.737441202,2,Tier 2,India,Top 100,3,31.25770034,61.74571663,Cybersecurity,Healthcare,4.547153146,Placed
7.426956198,4,Tier 2,USA,300+,1,98.82577041,68.44781166,Data Science,Tech,5.322807637,Not Placed
7.345305304,1,Tier 2,Canada,300+,3,61.12154001,49.1461622,Core CS,Consulting,7.504961448,Placed
6.702144758,1,Tier 3,UK,300+,0,78.25266499,64.44044883,Data Science,Consulting,4.488618792,Placed
6.013518956,2,Tier 3,Germany,100-300,1,86.7103741,46.51470699,Core CS,Healthcare,2.26110254,Not Placed
6.609380926,6,Tier 3,Germany,300+,2,76.38868456,70.30290281,Cloud,Healthcare,5.954200064,Not Placed
6.790593368,2,Tier 2,Germany,300+,3,78.79853563,61.62779229,Core CS,Consulting,3.871018187,Placed
8.228925418,0,Tier 2,India,100-300,1,72.07807138,66.18534256,Data Science,Consulting,6.135500523,Placed
7.598036901,1,Tier 1,India,Top 100,2,78.28444986,73.08223124,AI/ML,Consulting,4.14770816,Placed
5.308245121,2,Tier 3,India,100-300,3,59.83750865,40.40577551,Data Science,Finance,4.660019361,Not Placed
7.802826318,0,Tier 3,India,300+,0,79.66985665,59.45113778,Core CS,Other,6.154024664,Placed
8.031362441,2,Tier 1,Germany,100-300,3,61.74771105,48.10471216,Core CS,Manufacturing,5.059789585,Placed
7.590773264,0,Tier 3,Germany,300+,0,70.32292271,70.37443236,Cloud,Finance,5.546664192,Not Placed
6.934781862,1,Tier 1,USA,Top 100,2,65.90184368,77.82105984,Data Science,Healthcare,4.493503872,Placed
6.234279268,1,Tier 1,Germany,100-300,3,51.84498697,89.75548464,Cybersecurity,Consulting,4.17207688,Not Placed
7.329562399,3,Tier 1,Germany,100-300,1,77.83280778,61.58635737,Data Science,Manufacturing,7.470511926,Placed
6.372543224,2,Tier 1,UK,300+,0,64.03703509,69.71538452,Cloud,Tech,3.735745815,Not Placed
7.850125833,2,Tier 1,Germany,300+,0,71.46939245,35.38664814,Cloud,Consulting,5.564088628,Not Placed
7.867358595,2,Tier 3,UK,100-300,1,77.92520996,74.72940766,Cloud,Consulting,8.436592913,Placed
6.331126664,1,Tier 2,Germany,100-300,2,51.79009923,82.98535722,Data Science,Tech,3.968248969,Placed
6.852774081,1,Tier 2,USA,100-300,1,57.47695085,62.73590129,AI/ML,Consulting,4.687113448,Placed
6.726281079,2,Tier 2,Germany,Top 100,4,68.07970111,68.04987422,Cloud,Consulting,7.243423569,Placed
6.356026815,3,Tier 2,USA,100-300,0,75.40314273,49.12313119,AI/ML,Other,3.268789136,Not Placed
5.42837117,1,Tier 1,Germany,300+,2,66.30832326,83.63795721,Cloud,Tech,3.834547434,Not Placed
5.634113634,3,Tier 3,Canada,100-300,0,90.80424742,51.90029099,Cybersecurity,Consulting,4.593004098,Not Placed
6.596697061,0,Tier 2,India,300+,2,74.24743951,58.16999297,Core CS,Consulting,7.05992264,Not Placed
8.396687176,0,Tier 3,Germany,Top 100,1,92.27596166,67.81438773,Cybersecurity,Healthcare,3.360717681,Placed
7.439107068,0,Tier 3,USA,100-300,4,64.57256431,68.84660004,Data Science,Finance,3.984152173,Placed
6.481702168,2,Tier 2,Germany,300+,1,76.01758911,73.06707716,Cybersecurity,Manufacturing,3.991206405,Not Placed
8.185330722,0,Tier 1,USA,100-300,2,67.35907558,53.78269688,Cloud,Other,4.901268655,Placed
5.666589275,4,Tier 3,Canada,300+,1,66.3784912,71.71869831,Data Science,Finance,6.368208689,Placed
6.947110085,1,Tier 2,Canada,100-300,1,71.42610217,55.93258714,AI/ML,Healthcare,5.519931985,Not Placed
6.875662054,0,Tier 2,Canada,300+,1,58.51427013,53.86401643,Core CS,Manufacturing,4.328900952,Placed
7.100461163,1,Tier 1,Canada,100-300,0,32.07917477,67.21521517,Core CS,Other,5.670622493,Placed
7.334811647,3,Tier 2,UK,300+,0,97.06378279,80.51752091,Core CS,Other,5.593843965,Not Placed
6.836696185,1,Tier 2,Canada,300+,0,43.63865814,78.9990525,Core CS,Consulting,2.174519461,Not Placed
7.643946713,2,Tier 3,UK,Top 100,4,76.0317907,59.47408026,Cloud,Other,4.173801249,Placed
7.229109395,0,Tier 1,Canada,300+,2,84.340031,73.39970482,Cybersecurity,Consulting,5.217569173,Not Placed
8.274135999,0,Tier 2,UK,Top 100,1,67.66612496,71.70992515,Core CS,Healthcare,5.801345709,Not Placed
7.344689935,0,Tier 2,USA,Top 100,4,67.38561984,68.87021933,Data Science,Consulting,4.275540928,Placed
6.16618273,0,Tier 1,India,300+,2,89.28526104,58.57893076,Core CS,Tech,4.453037782,Placed
7.777955198,1,Tier 2,Canada,300+,2,78.3358043,47.34082078,Cybersecurity,Manufacturing,4.306678547,Not Placed
8.04262243,0,Tier 3,Germany,100-300,2,52.77892482,60.83051616,Cloud,Consulting,3.950219542,Placed
6.713327878,2,Tier 1,India,100-300,0,65.93933695,59.25443006,Cloud,Finance,4.217036145,Placed
7.080632858,1,Tier 1,Canada,100-300,1,72.8148791,39.67209437,Cloud,Tech,5.36970609,Placed
6.942720599,0,Tier 2,USA,Top 100,0,73.27256107,72.05828411,Core CS,Consulting,7.43060501,Placed
5.871154535,1,Tier 2,Canada,Top 100,2,77.82877904,44.42838611,Core CS,Finance,2.992642796,Placed
7.504700483,0,Tier 2,Germany,300+,1,53.01410376,95.16154033,Data Science,Finance,5.94921643,Placed
7.740541406,0,Tier 1,India,300+,1,75.95187525,98.18652293,Cloud,Manufacturing,3.586596645,Placed
6.618498831,1,Tier 2,USA,300+,1,87.51160581,72.68092796,AI/ML,Tech,3.656020001,Not Placed
8.113166374,2,Tier 1,USA,Top 100,0,55.3569972,73.8707962,Cloud,Consulting,3.946348946,Placed
7.911644429,3,Tier 2,Germany,Top 100,1,47.86071306,66.59997267,Cybersecurity,Finance,7.541023066,Placed
6.878981373,2,Tier 2,UK,Top 100,5,74.4852463,67.9403585,Core CS,Tech,2.874666436,Not Placed
7.111455705,4,Tier 2,UK,100-300,2,81.61557785,63.67270192,Core CS,Manufacturing,6.084681305,Placed
6.958792645,1,Tier 1,India,100-300,1,91.67149972,71.11330834,Cloud,Consulting,7.333191411,Placed
7.393611424,0,Tier 3,UK,100-300,1,59.76166221,53.45378651,Cloud,Healthcare,6.999313577,Placed
7.326151789,0,Tier 2,USA,300+,0,69.45202626,77.74759095,Cybersecurity,Manufacturing,4.964190442,Placed
8.678351471,0,Tier 3,UK,300+,2,76.61746888,55.14071606,Data Science,Consulting,3.228992777,Not Placed
7.319011012,1,Tier 3,UK,Top 100,3,84.51168176,93.21965939,Core CS,Other,7.848986418,Placed
7.777256761,1,Tier 2,Canada,Top 100,0,51.88106337,68.77751428,Cloud,Healthcare,5.312785651,Placed
7.090813876,2,Tier 1,India,100-300,1,62.52545302,71.38698244,Cloud,Healthcare,6.101989368,Not Placed
6.914158285,3,Tier 3,Canada,Top 100,3,68.25353669,53.37039533,AI/ML,Manufacturing,2.730702702,Not Placed
6.591986881,6,Tier 1,Canada,100-300,0,50.95608331,47.82534418,Cloud,Finance,4.933875928,Not Placed
7.344807754,2,Tier 2,India,100-300,0,100.0,63.9151585,Cloud,Finance,3.354853717,Not Placed
7.438655702,1,Tier 3,UK,300+,0,71.07558804,61.54430295,Core CS,Finance,5.400164181,Placed
6.986745272,0,Tier 2,India,300+,3,86.55550025,45.52365408,AI/ML,Manufacturing,5.269014814,Not Placed
6.262069612,1,Tier 2,USA,100-300,5,69.34889235,55.98780278,Cloud,Healthcare,3.473988102,Placed
7.023352403,0,Tier 1,Germany,100-300,0,64.57057841,58.74622044,Core CS,Other,5.876290998,Placed
7.95581029,1,Tier 1,USA,300+,0,54.91683569,71.77054215,Data Science,Finance,6.37132782,Placed
7.349701424,0,Tier 2,Canada,100-300,2,69.42565189,71.2400895,Cloud,Manufacturing,5.332857499,Placed
6.828808925,1,Tier 2,India,Top 100,3,91.37052383,88.05554679,AI/ML,Manufacturing,2.510962228,Placed
6.777964595,0,Tier 3,USA,100-300,1,62.50682501,68.42464741,AI/ML,Other,5.15189365,Placed
6.587106687,0,Tier 2,USA,300+,2,54.49509957,92.90801002,Core CS,Manufacturing,7.646077641,Placed
8.045714203,0,Tier 3,Germany,300+,1,54.1265098,77.19074635,Core CS,Finance,4.903513187,Placed
7.169026954,1,Tier 1,Canada,300+,3,69.91031733,58.05530286,AI/ML,Tech,5.612149518,Not Placed
6.882517183,1,Tier 1,USA,Top 100,0,70.1453671,73.85934557,Data Science,Manufacturing,4.563872933,Placed
6.235153159,0,Tier 1,UK,300+,0,69.45826954,71.36494388,AI/ML,Consulting,2.802054461,Placed
7.83192375,0,Tier 3,Canada,100-300,2,77.75706689,70.89061274,AI/ML,Other,4.134586871,Placed
6.948249116,0,Tier 1,Canada,100-300,1,69.2488049,71.53850085,Cloud,Other,5.612109326,Placed
6.699912804,2,Tier 3,UK,100-300,2,77.96873677,72.26321845,Cybersecurity,Finance,5.867227629,Placed
6.377353158,0,Tier 2,USA,300+,2,77.11970204,67.64917731,Cloud,Tech,4.83419373,Placed
6.589928962,2,Tier 2,Germany,100-300,2,61.82214408,42.93175055,Cybersecurity,Other,3.886497658,Placed
7.396644017,2,Tier 1,UK,Top 100,1,68.98728377,60.46439571,AI/ML,Tech,6.170835405,Placed
7.523980467,4,Tier 2,UK,100-300,1,45.74697063,68.17850272,AI/ML,Tech,6.154746359,Placed
7.477920056,2,Tier 1,Germany,300+,1,64.50550833,65.00778178,Cybersecurity,Manufacturing,6.594257437,Placed
6.663390565,0,Tier 3,Germany,300+,2,81.99463188,100.0,Cybersecurity,Finance,3.923799579,Placed
6.185932178,0,Tier 1,Canada,Top 100,2,61.19082116,61.73576828,Cybersecurity,Finance,4.656456696,Placed
6.398274876,0,Tier 3,Canada,300+,0,91.09037994,82.58545552,Cloud,Manufacturing,1.180136357,Not Placed
6.720448538,0,Tier 2,Canada,300+,1,61.9262094,63.44768151,Data Science,Tech,5.951304232,Not Placed
6.772168472,0,Tier 1,Germany,300+,2,69.71470954,57.21896726,Data Science,Healthcare,3.321718283,Placed
5.885811622,2,Tier 2,Germany,Top 100,1,71.73323388,78.44354775,Core CS,Healthcare,4.665740164,Not Placed
6.041697686,3,Tier 3,Canada,300+,1,81.90720969,70.97950493,Core CS,Finance,4.112795321,Not Placed
6.17517978,0,Tier 2,Canada,100-300,2,80.41343982,73.58360184,Data Science,Finance,5.735388718,Not Placed
7.626524525,2,Tier 1,USA,Top 100,0,81.55392454,73.5879395,Cloud,Manufacturing,5.774028694,Placed
6.963531187,1,Tier 2,Canada,300+,0,100.0,70.55249558,AI/ML,Manufacturing,4.965258854,Not Placed
7.852137573,1,Tier 3,USA,100-300,0,30.0,39.31882943,Cybersecurity,Manufacturing,4.270780229,Placed
6.509277869,2,Tier 1,India,Top 100,2,91.37334922,68.96310991,Cybersecurity,Manufacturing,5.737104601,Placed
6.792848963,0,Tier 3,Germany,100-300,0,70.40033493,64.76641851,Core CS,Manufacturing,4.925809913,Placed
7.876855926,1,Tier 1,India,100-300,3,73.77095031,77.2292747,Cloud,Manufacturing,3.646538633,Placed
6.167841031,1,Tier 2,UK,100-300,1,74.41890456,70.7877514,Data Science,Tech,3.941112902,Not Placed
6.311416669,2,Tier 2,USA,100-300,2,94.28219709,48.65375305,Data Science,Manufacturing,6.174119731,Placed
8.338753508,1,Tier 1,UK,100-300,1,47.30261372,39.68900594,AI/ML,Tech,7.644601578,Placed
7.763268082,1,Tier 2,Germany,Top 100,3,55.39690706,64.06961754,Cloud,Consulting,5.030977493,Placed
6.973844202,2,Tier 2,USA,100-300,2,57.33063941,90.30172322,Data Science,Tech,6.685879657,Not Placed
7.239268587,1,Tier 2,Canada,Top 100,1,70.43740862,78.84411997,Data Science,Finance,8.678543775,Placed
6.483228657,0,Tier 3,UK,300+,2,77.45680852,49.24185639,AI/ML,Manufacturing,6.713290197,Placed
6.67437095,1,Tier 2,India,300+,0,59.51386541,73.02440604,AI/ML,Healthcare,4.582831317,Not Placed
5.963936982,1,Tier 2,UK,300+,0,61.19164937,71.39713231,Data Science,Tech,2.855394295,Not Placed
7.236156295,1,Tier 2,Canada,300+,0,66.25397993,68.56057489,Data Science,Finance,6.048600121,Not Placed
6.837980618,3,Tier 1,USA,Top 100,4,54.55192437,81.84579073,Cybersecurity,Tech,4.794286147,Not Placed
7.561458432,2,Tier 1,Germany,100-300,0,68.27602998,69.22531694,Cloud,Consulting,5.442414916,Not Placed
7.472595468,1,Tier 3,UK,300+,1,89.32692571,88.86689538,Cybersecurity,Tech,5.881094614,Placed
6.327382488,2,Tier 3,Canada,300+,1,51.12033465,73.41499913,Cybersecurity,Consulting,5.889971183,Not Placed
6.94327571,1,Tier 1,India,300+,0,84.8694242,43.20399178,Data Science,Healthcare,3.62334494,Placed
7.025407565,0,Tier 2,USA,300+,2,71.73780946,94.03930338,Data Science,Consulting,5.955846548,Placed
7.774547728,1,Tier 3,India,100-300,1,69.35463443,50.50043937,Cybersecurity,Consulting,5.454536424,Placed
7.844845447,0,Tier 1,USA,300+,1,60.69005624,79.26569068,Core CS,Other,5.216674496,Placed
6.962463537,1,Tier 3,Canada,100-300,1,51.66352777,68.91061162,Cybersecurity,Consulting,5.446975946,Not Placed
6.428518866,0,Tier 2,Canada,Top 100,3,83.03479885,60.33361553,Cybersecurity,Manufacturing,1.478011999,Placed
7.418011284,0,Tier 3,USA,300+,3,85.51642861,59.65320449,Core CS,Manufacturing,6.24344223,Placed
7.402585908,0,Tier 3,USA,300+,2,64.48866586,79.53079632,Cloud,Manufacturing,2.896322853,Placed
6.546884327,0,Tier 2,USA,100-300,1,30.0,71.66935899,Core CS,Other,3.500323417,Placed
6.842920121,0,Tier 1,UK,300+,0,79.75644605,72.34791723,AI/ML,Tech,4.371589423,Placed
6.311160262,2,Tier 3,UK,300+,0,70.10564189,65.69981553,Cloud,Manufacturing,7.505882032,Not Placed
6.455861219,1,Tier 1,Germany,300+,3,82.22223939,37.54110876,Core CS,Other,1.474495263,Not Placed
7.797256408,1,Tier 3,UK,300+,1,81.31926796,45.97509421,AI/ML,Tech,8.52982634,Placed
7.594611275,0,Tier 3,India,300+,2,63.82100877,62.04196239,Cybersecurity,Finance,3.703322159,Placed
6.51402217,2,Tier 2,India,Top 100,3,57.32701787,54.87801859,Core CS,Other,4.974342381,Not Placed
6.555840379,1,Tier 2,Canada,100-300,1,55.61303463,45.41465025,AI/ML,Consulting,5.178713022,Not Placed
8.005719373,0,Tier 2,UK,100-300,2,94.17611163,91.80978313,Cybersecurity,Tech,6.068260964,Placed
8.172168403,1,Tier 1,Germany,Top 100,1,81.36394561,51.95997644,Cybersecurity,Consulting,3.834357964,Placed
8.333805473,0,Tier 2,Canada,300+,2,73.64749299,60.87282433,Data Science,Healthcare,6.923863927,Placed
6.528597015,2,Tier 2,India,100-300,1,57.69961265,62.0747715,Core CS,Consulting,3.282194968,Not Placed
5.972490371,3,Tier 2,USA,100-300,1,71.12808441,54.84128953,Data Science,Consulting,5.211095175,Not Placed
7.51896791,1,Tier 2,India,300+,3,67.99496753,55.47073553,Cybersecurity,Healthcare,6.445769808,Placed
6.413475042,0,Tier 3,Canada,Top 100,1,86.30082226,59.72815988,Core CS,Manufacturing,3.671415081,Placed
6.126639299,1,Tier 1,Germany,Top 100,2,64.59478098,60.61271568,Data Science,Consulting,3.629100304,Placed
9.168635439,2,Tier 2,India,100-300,2,71.94396292,85.09285814,Cloud,Consulting,6.61975696,Placed
7.792568677,1,Tier 2,USA,100-300,0,94.62245258,63.65037421,AI/ML,Tech,4.668692597,Placed
7.533796118,0,Tier 1,India,100-300,2,77.10785855,48.15556035,Cloud,Consulting,6.908126672,Placed
5.831758052,1,Tier 2,Germany,300+,0,71.27679998,65.40199416,Cybersecurity,Healthcare,8.315529192,Placed
8.299107994,0,Tier 3,India,300+,0,63.92434471,68.2494059,Core CS,Healthcare,5.817735293,Placed
6.781724363,1,Tier 3,India,100-300,3,57.12914372,56.69246187,Data Science,Tech,5.287432468,Placed
6.955263641,1,Tier 3,USA,300+,1,65.31690149,72.94983661,Core CS,Other,6.577292623,Placed
8.063835492,0,Tier 2,Canada,100-300,1,50.95808882,79.99970692,Data Science,Other,6.771355746,Placed
6.927573374,1,Tier 3,Canada,Top 100,3,100.0,84.00467249,Core CS,Other,3.237844507,Placed
7.41112628,3,Tier 1,Canada,300+,3,83.94075727,43.00666237,Cloud,Finance,8.188845172,Placed
7.387787718,1,Tier 2,Canada,100-300,2,64.01508666,84.96646339,AI/ML,Healthcare,7.452917524,Placed
5.357210761,1,Tier 3,USA,100-300,1,39.9027372,46.28466363,AI/ML,Tech,4.569617179,Not Placed
7.561111915,1,Tier 2,USA,300+,2,65.74566862,60.82071762,Core CS,Other,5.893474299,Placed
7.736820672,3,Tier 3,UK,100-300,3,68.59968073,41.98001853,AI/ML,Finance,5.453534428,Placed
6.577362363,0,Tier 2,Germany,100-300,1,87.6320287,30.0,Data Science,Consulting,4.765963583,Not Placed
6.531365821,1,Tier 3,USA,300+,2,69.18098715,80.81506211,Core CS,Tech,4.677909201,Placed
7.543145032,1,Tier 3,Canada,100-300,0,61.69624716,49.12846242,Cybersecurity,Healthcare,3.977985511,Not Placed
6.839451825,1,Tier 3,Germany,300+,0,68.14914181,71.85279069,Data Science,Finance,6.550550406,Not Placed
6.073308249,1,Tier 2,Germany,300+,3,94.64665653,58.6299952,Data Science,Healthcare,5.103808942,Placed
7.061481506,0,Tier 3,USA,300+,1,54.87834172,52.08787121,Cybersecurity,Manufacturing,4.631818078,Not Placed
6.760654582,1,Tier 2,Canada,100-300,1,51.24671662,62.13019863,Cloud,Manufacturing,6.113827496,Placed
6.320124504,2,Tier 3,Germany,300+,3,67.58825768,69.72646714,Core CS,Healthcare,5.555350117,Not Placed
6.603435243,0,Tier 1,India,Top 100,3,59.4697861,65.71400848,Cloud,Finance,5.574155581,Placed
7.829727119,0,Tier 3,USA,Top 100,4,84.26088801,53.56606992,Core CS,Manufacturing,2.085076594,Placed
7.086387137,1,Tier 2,Canada,300+,1,87.57280777,55.78888091,Data Science,Tech,3.932406567,Placed
8.313142902,0,Tier 3,India,300+,2,78.71971865,50.09525337,Cybersecurity,Manufacturing,6.580883779,Placed
7.763008205,0,Tier 2,Canada,300+,0,100.0,37.69923618,AI/ML,Other,5.700687005,Placed
6.99183552,2,Tier 2,India,Top 100,0,52.86530662,39.20665829,Core CS,Consulting,7.74097479,Placed
7.029426267,1,Tier 3,USA,Top 100,0,54.17206944,45.93640594,AI/ML,Healthcare,9.415827329,Placed
8.135228489,0,Tier 1,UK,300+,0,37.25631533,82.63944602,Core CS,Tech,4.508355239,Placed
7.914852836,0,Tier 3,Germany,Top 100,2,55.07250743,66.9556283,Core CS,Healthcare,6.436446727,Placed
7.95642511,1,Tier 1,Canada,100-300,1,83.68660743,62.77549767,Data Science,Manufacturing,5.622563992,Not Placed
7.35340852,2,Tier 3,Canada,100-300,2,89.03852725,64.53026053,Cloud,Other,3.038943438,Placed
7.065475468,2,Tier 1,Germany,100-300,4,62.07599151,76.51807972,Cybersecurity,Manufacturing,4.962536397,Not Placed
7.510941712,1,Tier 1,India,300+,1,71.94182902,80.72643993,Cybersecurity,Manufacturing,1.651687447,Placed
7.098462561,1,Tier 1,Canada,Top 100,1,62.76686465,71.60745441,Cybersecurity,Tech,3.942252162,Placed
7.147744245,2,Tier 2,UK,300+,1,93.80792397,74.48088564,Cybersecurity,Consulting,3.686958577,Placed
6.797945479,0,Tier 2,India,100-300,2,65.27457578,55.86796282,Cybersecurity,Other,5.01262626,Placed
8.173232687,0,Tier 2,India,300+,1,48.85476771,92.91651674,Data Science,Finance,2.405352699,Placed
8.952977378,0,Tier 2,USA,300+,1,91.59004916,61.0819372,Cybersecurity,Healthcare,5.381641252,Placed
5.714994569,2,Tier 2,UK,100-300,0,66.04381578,44.22833435,Cloud,Finance,6.77097871,Placed
6.120866996,1,Tier 2,USA,300+,1,72.75662432,44.72815708,AI/ML,Tech,1.292933728,Not Placed
7.554178204,3,Tier 1,UK,Top 100,0,56.54255207,71.83627185,Cybersecurity,Tech,5.778790315,Not Placed
6.012390401,0,Tier 2,Canada,100-300,3,86.77805985,45.68036819,Data Science,Healthcare,7.086840582,Placed
7.740225514,0,Tier 3,Canada,300+,1,74.7383772,58.86822532,Data Science,Manufacturing,4.232885128,Placed
6.702513694,0,Tier 2,Canada,100-300,1,89.99416452,66.36680958,Cybersecurity,Tech,4.216443139,Placed
5.721904217,1,Tier 3,USA,100-300,0,50.5805905,40.54402275,Cybersecurity,Healthcare,4.239288581,Not Placed
6.422609957,0,Tier 3,Germany,100-300,2,71.03052296,46.91604866,Core CS,Finance,8.639584267,Not Placed
6.677369766,2,Tier 1,India,300+,2,82.50083783,64.99795181,Data Science,Consulting,4.522032455,Placed
8.586963308,0,Tier 3,UK,100-300,3,80.72526902,58.08786057,Cloud,Healthcare,5.263307575,Placed
5.947347347,2,Tier 2,USA,300+,3,60.94893894,84.92316863,AI/ML,Manufacturing,4.223674583,Placed
6.620043751,1,Tier 1,India,Top 100,1,58.33628696,61.79660757,Data Science,Consulting,3.076518501,Placed
5.109654052,4,Tier 1,India,Top 100,1,57.91695434,64.35245813,Cybersecurity,Finance,5.100514622,Not Placed
